,year,Brazil co2 emission,Brazil gdp
0,1901.0,2103136.0,652.0
1,1902.0,2506176.0,638.0
2,1903.0,2440224.0,637.0
3,1904.0,2619760.0,636.0
4,1905.0,2799296.0,641.0
5,1906.0,3206000.0,688.0
6,1907.0,3451488.0,674.0
7,1908.0,3594384.0,655.0
8,1909.0,3609040.0,693.0
9,1910.0,4198944.0,686.0
10,1911.0,4605648.0,746.0
11,1912.0,5591264.0,722.0
12,1913.0,6034608.0,724.0
13,1914.0,4107344.0,696.0
14,1915.0,3143712.0,712.0
15,1916.0,2879904.0,718.0
16,1917.0,2498848.0,751.0
17,1918.0,2322976.0,721.0
18,1919.0,3070432.0,799.0
19,1920.0,3645680.0,860.0
20,1921.0,2890896.0,860.0
21,1922.0,3781248.0,901.0
22,1923.0,4616640.0,933.0
23,1924.0,5103952.0,914.0
24,1925.0,5375088.0,899.0
25,1926.0,5477680.0,900.0
26,1927.0,6074912.0,946.0
27,1928.0,5928352.0,1034.0
28,1929.0,6346048.0,1015.0
29,1930.0,5514320.0,936.0
30,1931.0,4169632.0,896.0
31,1932.0,4169632.0,909.0
32,1933.0,4722896.0,960.0
33,1934.0,4623968.0,1020.0
34,1935.0,5510656.0,1026.0
35,1936.0,5147920.0,1102.0
36,1937.0,6089568.0,1116.0
37,1938.0,6096896.0,1139.0
38,1939.0,5950336.0,1127.0
39,1940.0,6488944.0,1115.0
40,1941.0,6283760.0,1167.0
41,1942.0,5869728.0,1097.0
42,1943.0,6477952.0,1221.0
43,1944.0,5899040.0,1237.0
44,1945.0,6826032.0,1241.0
45,1946.0,7463568.0,1340.0
46,1947.0,8951152.0,1355.0
47,1948.0,7851952.0,1452.0
48,1949.0,7371968.0,1527.0
49,1950.0,19664688.0,1549.0
50,1951.0,21665232.0,1544.0
51,1952.0,24940848.0,1632.0
52,1953.0,25226640.0,1660.0
53,1954.0,29685728.0,1747.0
54,1955.0,34034896.0,1856.0
55,1956.0,36621680.0,1849.0
56,1957.0,35987808.0,1913.0
57,1958.0,39069232.0,2059.0
58,1959.0,39017080.3,2124.0
59,1960.0,46851820.73,2280.0
60,1961.0,49144504.1,2442.0
61,1962.0,53631448.03,2559.0
62,1963.0,55550938.29,2519.0
63,1964.0,56666675.33,2527.0
64,1965.0,56329617.05,2509.0
65,1966.0,64211635.32,2626.0
66,1967.0,66079408.3,2738.0
67,1968.0,77271373.16,2912.0
68,1969.0,84132709.41,2966.0
69,1970.0,93530494.44,3275.0
70,1971.0,102357941.2,3576.0
71,1972.0,114014328.2,3899.0
72,1973.0,132019609.9,4291.0
73,1974.0,142927313.7,4540.0
74,1975.0,150513658.4,4639.0
75,1976.0,154398074.8,4904.0
76,1977.0,162078338.5,4903.0
77,1978.0,175931478.8,4976.0
78,1979.0,187155058.6,5184.0
79,1980.0,185758330.6,5052.0
80,1981.0,170467910.3,5133.0
81,1982.0,170789345.3,5162.0
82,1983.0,165426960.6,4987.0
83,1984.0,167605588.9,5041.0
84,1985.0,179936803.4,5207.0
85,1986.0,197226217.1,5835.0
86,1987.0,205788741.6,5880.0
87,1988.0,207562967.6,5792.0
88,1989.0,212113643.7,5832.0
89,1990.0,206921120.0,5647.0
90,1991.0,217227472.0,5901.0
91,1992.0,218383504.0,5999.0
92,1993.0,228333216.0,6359.0
93,1994.0,239470720.0,7051.0
94,1995.0,255583376.0,8073.0
95,1996.0,281194784.0,9500.0
96,1997.0,296585256.0,9121.0
97,1998.0,308305720.0,8661.0
98,1999.0,316282440.0,8279.0
99,2000.0,324226040.0,8316.0
100,2001.0,332987400.0,8188.0
101,2002.0,327434832.0,8190.0
102,2003.0,317508448.0,8038.0
103,2004.0,333675144.0,8365.0
104,2005.0,342086472.0,8639.0
105,2006.0,341946368.0,9324.0
106,2007.0,356918752.0,10264.0
107,2008.0,380344928.0,11352.0
108,2009.0,360090776.0,11700.0
109,2010.0,411240192.0,13418.0
110,2011.0,430194902.3,14831.0
111,2012.0,460063092.5,14702.0
112,2013.0,493593511.3,14943.0
113,2014.0,519526349.7,14825.0
114,2015.0,512081882.0,15377.0
115,2016.0,473741376.0,13479.0
