,year,India co2 emission,India gdp
0,1861.0,549600.0,925.0
1,1884.0,2986160.0,969.0
2,1885.0,2696704.0,1002.0
3,1886.0,3026464.0,973.0
4,1887.0,3352560.0,1020.0
5,1888.0,3722624.0,1032.0
6,1889.0,4378480.0,1006.0
7,1890.0,4829152.0,1056.0
8,1891.0,5199216.0,961.0
9,1892.0,5712176.0,1041.0
10,1893.0,6012624.0,1071.0
11,1894.0,6133536.0,1090.0
12,1895.0,7683408.0,1066.0
13,1896.0,8313616.0,990.0
14,1897.0,8998784.0,1174.0
15,1898.0,9969744.0,1179.0
16,1899.0,10988336.0,1090.0
17,1900.0,13051168.0,1131.0
18,1901.0,14395856.0,1152.0
19,1902.0,15876112.0,1246.0
20,1903.0,16165568.0,1262.0
21,1904.0,18067184.0,1265.0
22,1905.0,18473888.0,1240.0
23,1906.0,21342800.0,1273.0
24,1907.0,23816000.0,1193.0
25,1908.0,27249168.0,1208.0
26,1909.0,26318512.0,1371.0
27,1910.0,25695632.0,1371.0
28,1911.0,27113600.0,1365.0
29,1912.0,31217280.0,1367.0
30,1913.0,34437936.0,1340.0
31,1914.0,34716400.0,1417.0
32,1915.0,36277264.0,1387.0
33,1916.0,36680304.0,1432.0
34,1917.0,38358416.0,1410.0
35,1918.0,43158256.0,1234.0
36,1919.0,47122704.0,1409.0
37,1920.0,38160560.0,1301.0
38,1921.0,41044128.0,1397.0
39,1922.0,40388272.0,1447.0
40,1923.0,41575408.0,1391.0
41,1924.0,44510272.0,1451.0
42,1925.0,43916704.0,1459.0
43,1926.0,43792128.0,1495.0
44,1927.0,45931904.0,1486.0
45,1928.0,44198832.0,1492.0
46,1929.0,45994192.0,1544.0
47,1930.0,46756304.0,1545.0
48,1931.0,42824832.0,1520.0
49,1932.0,39816688.0,1521.0
50,1933.0,39087552.0,1507.0
51,1934.0,43645568.0,1506.0
52,1935.0,45602144.0,1476.0
53,1936.0,44818048.0,1518.0
54,1937.0,49643536.0,1478.0
55,1938.0,55575552.0,1466.0
56,1939.0,54403072.0,1483.0
57,1940.0,57697008.0,1516.0
58,1941.0,58957424.0,1532.0
59,1942.0,58898800.0,1512.0
60,1943.0,51296000.0,1559.0
61,1944.0,52461152.0,1531.0
62,1945.0,58195312.0,1494.0
63,1946.0,57499152.0,1404.0
64,1947.0,58602016.0,1399.0
65,1948.0,58620336.0,1403.0
66,1949.0,61881296.0,1425.0
67,1950.0,66604192.0,1417.0
68,1951.0,69722256.0,1426.0
69,1952.0,73492512.0,1380.0
70,1953.0,74877504.0,1411.0
71,1954.0,78739360.0,1419.0
72,1955.0,85440816.0,1392.0
73,1956.0,88456288.0,1430.0
74,1957.0,99235776.0,1359.0
75,1958.0,103724176.0,1393.0
76,1959.0,109818753.1,1353.0
77,1960.0,120576041.5,1403.0
78,1961.0,130392926.5,1378.0
79,1962.0,143451843.1,1356.0
80,1963.0,154068161.4,1356.0
81,1964.0,150638991.1,1389.0
82,1965.0,165961362.8,1277.0
83,1966.0,171688393.5,1233.0
84,1967.0,172093127.1,1272.0
85,1968.0,187104611.6,1233.0
86,1969.0,190400378.4,1239.0
87,1970.0,194728956.0,1234.0
88,1971.0,205329544.8,1237.0
89,1972.0,217181944.9,1238.0
90,1973.0,223602295.0,1301.0
91,1974.0,231184714.5,1264.0
92,1975.0,251193313.9,1362.0
93,1976.0,262531754.5,1304.0
94,1977.0,277648315.9,1283.0
95,1978.0,281539159.7,1238.0
96,1979.0,295299010.0,1131.0
97,1980.0,312484903.3,1143.0
98,1981.0,337105182.8,1109.0
99,1982.0,347815634.1,1066.0
100,1983.0,376676324.9,1059.0
101,1984.0,385928830.6,1035.0
102,1985.0,424256027.2,1021.0
103,1986.0,455066525.5,1054.0
104,1987.0,486067297.8,1094.0
105,1988.0,525081666.9,1168.0
106,1989.0,576404547.7,1228.0
107,1990.0,616579098.4,1283.0
108,1991.0,656740892.9,1297.0
109,1992.0,698756949.7,1354.0
110,1993.0,722894259.4,1428.0
111,1994.0,764241966.7,1484.0
112,1995.0,811460787.1,1565.0
113,1996.0,878826964.5,1677.0
114,1997.0,915049313.0,1742.0
115,1998.0,933549258.1,1845.0
116,1999.0,995233071.6,1935.0
117,2000.0,1029637759.0,2003.0
118,2001.0,1035640714.0,2086.0
119,2002.0,1047595651.0,2177.0
120,2003.0,1091873009.0,2351.0
121,2004.0,1145545234.0,2502.0
122,2005.0,1210145667.0,2789.0
123,2006.0,1287149211.0,3060.0
124,2007.0,1390253491.0,3333.0
125,2008.0,1547991039.0,3754.0
126,2009.0,1720120560.0,3936.0
127,2010.0,1700027394.0,4353.0
128,2011.0,1817171600.0,4768.0
129,2012.0,1983758813.0,4974.0
130,2013.0,1997878578.0,5052.0
131,2014.0,2207533892.0,5312.0
132,2015.0,2276407195.0,5639.0
133,2016.0,2377447863.0,5961.0
