,year,Japan co2 emission,Japan gdp
0,1870.0,18320.0,985.0
1,1871.0,25648.0,991.0
2,1872.0,32976.0,996.0
3,1873.0,40304.0,1003.0
4,1874.0,586240.0,1010.0
5,1875.0,1439952.0,1082.0
6,1876.0,1403312.0,1048.0
7,1877.0,1289728.0,1072.0
8,1878.0,1857648.0,1060.0
9,1879.0,2315648.0,1116.0
10,1880.0,2348624.0,1153.0
11,1881.0,2414576.0,1108.0
12,1882.0,2513504.0,1127.0
13,1883.0,2711360.0,1118.0
14,1884.0,2956848.0,1116.0
15,1885.0,3348896.0,1149.0
16,1886.0,3605376.0,1224.0
17,1887.0,4473744.0,1271.0
18,1888.0,5169904.0,1201.0
19,1889.0,6254448.0,1246.0
20,1890.0,6756416.0,1351.0
21,1891.0,8123088.0,1277.0
22,1892.0,8075456.0,1352.0
23,1893.0,8573760.0,1347.0
24,1894.0,11024976.0,1495.0
25,1895.0,12226768.0,1500.0
26,1896.0,12915600.0,1404.0
27,1897.0,13542144.0,1418.0
28,1898.0,17246448.0,1668.0
29,1899.0,17272096.0,1527.0
30,1900.0,19411872.0,1575.0
31,1901.0,23273728.0,1611.0
32,1902.0,24944512.0,1508.0
33,1903.0,25787232.0,1593.0
34,1904.0,29051856.0,1587.0
35,1905.0,29931216.0,1545.0
36,1906.0,32855088.0,1732.0
37,1907.0,35071808.0,1770.0
38,1908.0,37632944.0,1761.0
39,1909.0,38255824.0,1737.0
40,1910.0,39384336.0,1741.0
41,1911.0,44209824.0,1810.0
42,1912.0,49280800.0,1848.0
43,1913.0,54315136.0,1852.0
44,1914.0,58015776.0,1772.0
45,1915.0,52842208.0,1909.0
46,1916.0,58598352.0,2177.0
47,1917.0,67483552.0,2224.0
48,1918.0,71543264.0,2228.0
49,1919.0,79193696.0,2440.0
50,1920.0,74280272.0,2265.0
51,1921.0,66809376.0,2483.0
52,1922.0,71429680.0,2446.0
53,1923.0,75907088.0,2416.0
54,1924.0,79347584.0,2452.0
55,1925.0,82011312.0,2518.0
56,1926.0,82604880.0,2500.0
57,1927.0,89482208.0,2497.0
58,1928.0,92406080.0,2661.0
59,1929.0,94897600.0,2705.0
60,1930.0,86180944.0,2471.0
61,1931.0,77918624.0,2454.0
62,1932.0,77995568.0,2620.0
63,1933.0,91361840.0,2835.0
64,1934.0,101221664.0,2802.0
65,1935.0,106406224.0,2832.0
66,1936.0,116874272.0,2994.0
67,1937.0,125455360.0,3084.0
68,1938.0,131757440.0,3259.0
69,1939.0,127767344.0,3743.0
70,1940.0,153261456.0,3815.0
71,1941.0,154628128.0,3809.0
72,1942.0,147809424.0,3732.0
73,1943.0,150652688.0,3732.0
74,1944.0,138744688.0,3512.0
75,1945.0,76639888.0,1776.0
76,1946.0,52710304.0,1903.0
77,1947.0,70037360.0,2028.0
78,1948.0,88089888.0,2268.0
79,1949.0,98433360.0,2363.0
80,1950.0,102559024.0,2519.0
81,1951.0,123484128.0,2853.0
82,1952.0,130434736.0,3086.0
83,1953.0,145805216.0,3217.0
84,1954.0,142577232.0,3357.0
85,1955.0,141917712.0,3631.0
86,1956.0,160688384.0,3841.0
87,1957.0,188128080.0,4067.0
88,1958.0,181221440.0,4324.0
89,1959.0,192619987.1,4652.0
90,1960.0,232499640.8,5185.0
91,1961.0,282786899.7,5730.0
92,1962.0,292864430.2,6261.0
93,1963.0,324835463.1,6668.0
94,1964.0,358891092.2,7371.0
95,1965.0,386471179.1,7753.0
96,1966.0,419245118.4,8526.0
97,1967.0,489307428.3,9364.0
98,1968.0,561912554.1,10536.0
99,1969.0,653215419.5,11753.0
100,1970.0,767963109.7,12904.0
101,1971.0,796544396.7,13521.0
102,1972.0,852170481.0,14548.0
103,1973.0,914265673.7,15453.0
104,1974.0,914306790.6,15101.0
105,1975.0,868511411.0,15703.0
106,1976.0,907145368.9,16508.0
107,1977.0,933238704.2,17403.0
108,1978.0,901591433.3,18504.0
109,1979.0,953072922.0,19490.0
110,1980.0,944870323.7,20408.0
111,1981.0,926837367.6,19954.0
112,1982.0,897409726.2,19602.0
113,1983.0,880911503.7,19052.0
114,1984.0,937072088.8,18897.0
115,1985.0,912402996.2,19017.0
116,1986.0,912262211.1,20373.0
117,1987.0,902532780.2,21518.0
118,1988.0,985467063.7,23400.0
119,1989.0,1021684766.0,24869.0
120,1990.0,1155263415.0,26341.0
121,1991.0,1167040517.0,28111.0
122,1992.0,1176942570.0,29064.0
123,1993.0,1170196733.0,29967.0
124,1994.0,1225173421.0,30728.0
125,1995.0,1237852824.0,32146.0
126,1996.0,1249875688.0,32540.0
127,1997.0,1243367132.0,32662.0
128,1998.0,1203710533.0,32132.0
129,1999.0,1239840120.0,31980.0
130,2000.0,1262734462.0,33294.0
131,2001.0,1248087424.0,33086.0
132,2002.0,1277236546.0,33215.0
133,2003.0,1285385412.0,33576.0
134,2004.0,1280036122.0,34354.0
135,2005.0,1286856314.0,35292.0
136,2006.0,1262639452.0,35572.0
137,2007.0,1300051973.0,36054.0
138,2008.0,1229245450.0,35257.0
139,2009.0,1160203633.0,33798.0
140,2010.0,1211572868.0,35477.0
141,2011.0,1261398590.0,34979.0
142,2012.0,1302082927.0,35143.0
143,2013.0,1314069572.0,35494.0
144,2014.0,1264173252.0,35550.0
145,2015.0,1223666475.0,36030.0
146,2016.0,1204318623.0,36452.0
