,year,global co2 emission,temperature anomaly
0,1850.0,532313248.0,-0.373
1,1851.0,570777920.0,-0.218
2,1852.0,571719568.0,-0.228
3,1853.0,595814032.0,-0.269
4,1854.0,621359440.0,-0.248
5,1855.0,732133152.0,-0.272
6,1856.0,741850080.0,-0.358
7,1857.0,791654832.0,-0.461
8,1858.0,798407584.0,-0.467
9,1859.0,810256960.0,-0.284
10,1860.0,857925600.0,-0.343
11,1861.0,944014944.0,-0.407
12,1862.0,996816848.0,-0.524
13,1863.0,1014121920.0,-0.278
14,1864.0,1078150320.0,-0.494
15,1865.0,1161880048.0,-0.279
16,1866.0,1237413408.0,-0.251
17,1867.0,1276119904.0,-0.321
18,1868.0,1359369648.0,-0.238
19,1869.0,1389128656.0,-0.262
20,1870.0,1468197776.0,-0.276
21,1871.0,1497139712.0,-0.335
22,1872.0,1592590576.0,-0.227
23,1873.0,1750116928.0,-0.304
24,1874.0,1854705808.0,-0.368
25,1875.0,1731269312.0,-0.395
26,1876.0,1887634176.0,-0.384
27,1877.0,1918448416.0,-0.075
28,1878.0,1944924480.0,0.035
29,1879.0,1958620512.0,-0.23
30,1880.0,2078832688.0,-0.227
31,1881.0,2350052960.0,-0.2
32,1882.0,2424692304.0,-0.213
33,1883.0,2547044256.0,-0.296
34,1884.0,2703522704.0,-0.409
35,1885.0,2724293920.0,-0.389
36,1886.0,2741859136.0,-0.367
37,1887.0,2773831200.0,-0.418
38,1888.0,2907285072.0,-0.307
39,1889.0,3186562480.0,-0.171
40,1890.0,3222641888.0,-0.416
41,1891.0,3474794704.0,-0.33
42,1892.0,3627792352.0,-0.455
43,1893.0,3623739968.0,-0.473
44,1894.0,3565039024.0,-0.41
45,1895.0,3734803136.0,-0.39
46,1896.0,3926379040.0,-0.186
47,1897.0,4069458240.0,-0.206
48,1898.0,4260480880.0,-0.412
49,1899.0,4472289392.0,-0.289
50,1900.0,4851964064.0,-0.203
51,1901.0,5108103312.0,-0.259
52,1902.0,5239882736.0,-0.402
53,1903.0,5351425888.0,-0.479
54,1904.0,5785419360.0,-0.52
55,1905.0,5861179888.0,-0.377
56,1906.0,6207230032.0,-0.283
57,1907.0,6496920528.0,-0.465
58,1908.0,7317678512.0,-0.511
59,1909.0,7131657232.0,-0.522
60,1910.0,7345491936.0,-0.49
61,1911.0,7666381392.0,-0.544
62,1912.0,7830667824.0,-0.437
63,1913.0,8182888144.0,-0.424
64,1914.0,8861248432.0,-0.244
65,1915.0,8027175472.0,-0.141
66,1916.0,7855300896.0,-0.383
67,1917.0,8436935248.0,-0.468
68,1918.0,8758473232.0,-0.333
69,1919.0,8591904128.0,-0.275
70,1920.0,7463978368.0,-0.247
71,1921.0,8686021296.0,-0.187
72,1922.0,7706117472.0,-0.302
73,1923.0,8133409488.0,-0.276
74,1924.0,8964349728.0,-0.294
75,1925.0,9183050224.0,-0.215
76,1926.0,9217074128.0,-0.108
77,1927.0,8866213152.0,-0.21
78,1928.0,9890542976.0,-0.206
79,1929.0,9919946576.0,-0.35
80,1930.0,10666046896.0,-0.137
81,1931.0,9857896736.0,-0.087
82,1932.0,8825641680.0,-0.137
83,1933.0,7994679456.0,-0.273
84,1934.0,8381711440.0,-0.131
85,1935.0,9115247904.0,-0.178
86,1936.0,9558313440.0,-0.147
87,1937.0,10411010512.0,-0.026
88,1938.0,11208344544.0,-0.006
89,1939.0,10682311392.0,-0.052
90,1940.0,11227866336.0,0.014
91,1941.0,12130566016.0,0.02
92,1942.0,12356803360.0,-0.027
93,1943.0,12401342944.0,-0.004
94,1944.0,12776045568.0,0.144
95,1945.0,12502762464.0,0.025
96,1946.0,9951108896.0,-0.071
97,1947.0,11047634176.0,-0.038
98,1948.0,12188600112.0,-0.039
99,1949.0,12815631424.0,-0.074
100,1950.0,12391314576.0,-0.173
101,1951.0,13446487952.0,-0.052
102,1952.0,14529049728.0,0.028
103,1953.0,14732914688.0,0.097
104,1954.0,15132404272.0,-0.129
105,1955.0,15525723680.0,-0.19
106,1956.0,16948469536.0,-0.267
107,1957.0,18037751088.0,-0.007
108,1958.0,18624987696.0,0.046
109,1959.0,19130154368.0,0.017
110,1960.0,23070359448.760002,-0.049
111,1961.0,24247685902.980003,0.038
112,1962.0,24566602211.45,0.014
113,1963.0,25660710481.949997,0.048
114,1964.0,27146952806.030006,-0.223
115,1965.0,28702323348.95001,-0.14
116,1966.0,29988950026.629993,-0.068
117,1967.0,31414251316.16999,-0.074
118,1968.0,32488390505.619995,-0.113
119,1969.0,34217171616.089996,0.032
120,1970.0,36324283109.30999,-0.027
121,1971.0,38984043969.5,-0.186
122,1972.0,40554920231.96999,-0.065
123,1973.0,42191297490.679985,0.062
124,1974.0,44515526156.96,-0.214
125,1975.0,44684303014.81001,-0.149
126,1976.0,44530947171.76,-0.241
127,1977.0,47126900548.19001,0.047
128,1978.0,48465796970.16,-0.062
129,1979.0,49246410172.869995,0.057
130,1980.0,51750514680.86,0.092
131,1981.0,51454266527.49002,0.14
132,1982.0,49938200947.240005,0.011
133,1983.0,49599772154.24001,0.194
134,1984.0,49490824442.21999,-0.014
135,1985.0,51095729286.569984,-0.03
136,1986.0,52724197442.73998,0.045
137,1987.0,54062996749.610016,0.192
138,1988.0,55432795656.9,0.198
139,1989.0,57362016945.53,0.118
140,1990.0,58477796058.17,0.296
141,1991.0,58561109474.420006,0.254
142,1992.0,58968859461.569984,0.105
143,1993.0,57830697575.619995,0.148
144,1994.0,57664544081.23001,0.208
145,1995.0,58251833450.13001,0.325
146,1996.0,59308766781.18999,0.183
147,1997.0,60592015972.28001,0.39
148,1998.0,61346687788.34,0.539
149,1999.0,61455460572.329994,0.306
150,2000.0,61501461784.11001,0.294
151,2001.0,63142083490.62999,0.441
152,2002.0,64545198190.37998,0.496
153,2003.0,65385061706.50997,0.505
154,2004.0,68598883674.44,0.447
155,2005.0,71609395740.25996,0.545
156,2006.0,73924911898.35002,0.506
157,2007.0,76316780616.04,0.491
158,2008.0,77697425502.38998,0.395
159,2009.0,79909479939.98001,0.506
160,2010.0,78673014907.57996,0.56
161,2011.0,82381091860.37001,0.425
162,2012.0,85243609937.75002,0.47
163,2013.0,86650795327.65002,0.514
164,2014.0,87007446549.57999,0.579
165,2015.0,87620961326.15002,0.763
166,2016.0,87686547898.35999,0.797
167,2017.0,88249617532.29005,0.677
168,2018.0,89472750829.83,0.595
